,axis1,axis2,axis3,axis4,axis5,axis6,axis7,axis8,Bankrupt
0,5995932376.098549,2565263475.893172,1998551478.9383268,-1556894243.7187889,-2872628411.947024,-1131120233.194581,-619952750.8590906,-3087006090.722604,1
1,10464122995.974657,-2025293982.509057,7646972609.189238,2906900063.4069333,-1599877955.0969718,-1508079723.2464492,-205418772.1727188,-2352258237.0200143,1
2,5855593923.293642,-2207876667.3504004,-2404230726.8102813,-1810148266.0512276,-2697781843.9678345,-1499563094.67372,1818762295.2042181,-390834905.2521872,1
3,10717616556.3174,1341744857.8809788,6819711544.938207,743015274.0588652,-4009937245.925574,2112051200.9065547,7794637008.563078,4507579695.952612,1
4,9244816098.976442,7462440185.441941,-1875104464.68879,3030693105.9193897,-2042417795.050739,-325425523.5973874,-359603390.99344224,2267176868.751855,1
5,4177147299.773129,3750964764.92713,2612212618.7568665,-1363345106.9458148,-3319423346.651073,3514572956.8598976,8473288559.521677,4903240299.692231,1
6,8225679180.88991,3617711057.944764,3400683685.867396,-2481700172.552419,-1820187708.5803382,-1155331388.7827754,-680609093.6874368,-5173039616.419255,0
7,10813843861.52607,8480888583.125678,-2106701536.1908522,3451437718.441471,-2633599154.287654,-363928552.70959413,-515240764.7343248,2065502381.8915808,0
8,8161438267.090866,3498671658.1665454,2962639041.6140676,-1891880322.2043545,-4438659274.508841,-1390045048.5130908,-1002464353.8155351,-5516543324.141781,0
9,7758254216.531415,5120952948.857876,-1953264383.3256054,2003747469.0466688,-2399050148.425756,-573731971.1213866,-479907258.7048753,1800680779.4210522,0
10,2902082219.105791,3329501411.4139314,1913509712.5829759,-1428496536.9904895,-1078541328.8617826,1779008866.8137512,-699568355.8271319,2327822924.718202,0
11,7440331419.772477,2518074596.313875,2865891456.3798504,-1604678863.5670557,-3182702838.491956,-212124893.00523338,-1212102303.2124033,-4537051734.940491,0
12,9264296529.738329,1983899557.773591,1869618191.1488512,-3322541930.856948,290962738.4903788,-3250787244.5082293,13306862.594946932,-3650354645.0109468,0
13,10217607962.292732,6122280774.679991,3264071554.264945,-4475870135.699983,-668013197.6525865,-1649094832.1617746,-65251400.76312833,4268255438.1382084,0
14,7721264238.750624,6855204679.103398,-522558554.2558726,4904287860.2919035,870200729.4080005,3662086347.8332505,8991055891.769075,-4903721259.607639,0
15,6743965443.013679,2749440246.519465,9400033050.92204,3405548460.791014,-2573748370.6927114,975502228.160623,-596983548.8826674,5689013314.263095,0
16,7761780915.850919,-5776859522.585101,1112273703.905451,1735647143.4283369,-3258772236.701954,666623017.330139,3797371181.228128,807240042.4901519,0
17,9821922238.446188,-1086357900.054332,5774608703.35324,1731614392.3093057,-2893623806.952089,-1714135179.123511,-1056869940.7620467,-2855392944.0485177,0
18,6529969830.995173,900037726.468874,-4555622731.317557,2298081024.5390906,-988059104.286708,-1347832978.1496212,-487766426.5426625,-265030816.96117473,0
19,10031489208.661737,2926402992.2506213,3166664723.5633187,-4031459103.6107345,3066871643.5329456,-3816708648.2498193,654685991.3724362,-4007883187.7108593,0
20,8191547864.805722,-2664504991.3367605,-1832356655.9940097,-3817263180.9286084,1656638527.806749,8560065.538082497,8403744527.135748,-175326021.6745819,0
21,8015727749.342809,-1646704113.0498424,-1319106629.9423015,-4141111551.4208446,4830063195.352532,-3542811945.115655,513911820.2583448,246266771.4770689,0
22,8799174749.42397,5934355916.056791,3197828337.6923366,-3392868855.9520307,-2425071579.553639,-1664086583.5817304,-154136986.713194,3126084614.7191186,0
23,4956111718.42634,-1816560906.9991,-2290984714.4561324,-1453173117.7815206,-2752665925.1001544,-2044795599.7876565,-725181238.8671473,-305946920.72779346,0
24,8608330925.803429,6301941000.701979,3071942947.818009,-2914748191.764052,-4482589590.014756,-1080208043.6691525,-582004674.7951882,3356137812.021296,0
25,11182569610.065489,-444199961.2064639,7084857224.496193,625738201.1433696,-1282639090.8068001,1205076120.7203643,4762993850.203481,-3834368455.347913,0
26,9137117754.831467,4476444617.273424,2328783028.3998036,-3446953097.800942,-2753218038.8978925,-821175971.9386381,229422357.15740067,1716268036.9664552,0
27,10417586382.8069,1739369798.8465037,2900227311.0307364,-3767979867.121373,2834298246.4375143,-2564822242.699952,-2309745.2551137917,-3474235710.1419296,0
28,9026197021.286665,-236487969.9432136,5762040515.471529,1396693440.1433544,-2830712369.7636876,-813627435.7314972,-1192530945.6498466,-3270729204.261815,0
29,4877533526.257892,6408367371.778129,-1298289180.5747366,5271592846.048486,773362590.1735456,974158586.1456752,15403221.409322623,-2595710680.5195193,1
30,7938912373.635999,1290554622.5711248,1330906548.9561944,-2376271813.3828216,-2816990800.443812,-441357720.5982132,3921990250.8542967,-3721040779.200509,1
31,5757116140.763676,8436504014.863994,5718758767.513249,-2544049487.120369,-1276062370.999034,1223131468.3329856,-167884938.83678052,3350912810.270559,0
